word	probability
# The model abstained on these words (p < 0.55).
# No gender is predicted; manual assignment required.
अंकगणित	0.5363
अदवायन	0.5333
अमिय	0.5006
अरहन	0.5212
आकर	0.5382
आज	0.5366
आयाम	0.5262
आरक्षण	0.5375
आर्यावर्त	0.5388
आसाढ	0.5156
इंटरनेट	0.5116
इतिवृत	0.5316
इमिग्रंट	0.5410
ईँट	0.5496
उतार	0.5133
उदघाटन	0.5275
उर्फ़	0.5278
ऊदल	0.5252
ऊधव	0.5224
ऊमर	0.5306
ऋण	0.5124
ऋतुराज	0.5260
एकक	0.5171
एकलव्य	0.5426
एकस्व	0.5209
एतराज़	0.5470
ऐंद्रजालिक	0.5183
ओंठ	0.5496
औंड	0.5349
कंधावर	0.5249
कंसताल	0.5461
ककुद	0.5092
कबूल	0.5237
कमलमूल	0.5001
कम्प्यूटर	0.5047
कयास	0.5012
करंक	0.5232
करंज	0.5425
करंड	0.5003
करताल	0.5456
कलौर	0.5328
कल्पवृक्ष	0.5346
क़हर	0.5026
काँव	0.5148
कायम	0.5326
कारवेल्ल	0.5171
कार्यानुभव	0.5101
कालाबाज़ार	0.5469
किंशुक	0.5450
किरदार	0.5361
किलोग्राम	0.5340
किलोलीटर	0.5315
कुवेर	0.5395
कुश्तीबाज	0.5235
कुसुमालय	0.5130
कृपाण	0.5187
केंसर	0.5394
कोतवार	0.5262
कोशातक्	0.5289
क्रमहीन	0.5475
क्रिस्चन	0.5078
क्वाथ	0.5078
क्षात्र	0.5296
खानाबदोश	0.5205
खिंचाव	0.5025
खोडर	0.5472
खोह	0.5129
गजक	0.5254
गलगल	0.5498
गवन	0.5305
गहराव	0.5337
गिर	0.5287
गुणांक	0.5149
गुन	0.5244
गुनगुन	0.5342
गुर	0.5179
गुवाक	0.5142
गूँज	0.5013
गृह	0.5178
ग्रैजुएट	0.5270
गढ्वाल	0.5196
घटियापन	0.5380
घमंडीपन	0.5426
चकमक	0.5214
चतुर्मास	0.5385
चमन	0.5370
चाँयचाँय	0.5077
चालन	0.5438
चिपिट	0.5324
चीर	0.5352
चीलर	0.5099
चुनट	0.5367
चुरुट	0.5034
चूनर	0.5394
चौदस	0.5200
छछुंदर	0.5217
छछूँदर	0.5204
छद्म	0.5136
छागल	0.5471
छिनालपन	0.5354
जमवट	0.5319
जमाधन	0.5098
जयद्रथ	0.5114
जलमनुष्य	0.5226
जलाधिप	0.5222
जवस	0.5010
ज़ुबान	0.5354
जानमाल	0.5001
जार	0.5201
जिल्लत	0.5246
जीवनचक्र	0.5174
जीवावशेष	0.5416
जुआठ	0.5010
जुआबाज	0.5477
जुआबाज़	0.5357
जुग	0.5460
जोरन	0.5455
ज्ञानेन्द्रिय	0.5228
जडहन	0.5444
झूमक	0.5247
झूमर	0.5347
झूमड	0.5401
झोंक	0.5062
झोर	0.5119
टक	0.5347
टपटप	0.5263
टलाव	0.5031
टसक	0.5040
टाँड	0.5136
टालमटोल	0.5419
टिकस	0.5307
टिट्टिभ	0.5012
टेंट	0.5205
टेबल	0.5415
टेम	0.5317
टेढ	0.5320
टॉयलेट	0.5094
ट्रैवल	0.5296
ठन्ठनगोपाल	0.5362
ठाठभाट	0.5241
ठेलमठेल	0.5479
डंडवत	0.5184
डपट	0.5021
डौर	0.5127
तद्भव	0.5470
तन्मय	0.5067
तरकुल	0.5367
तरतीब	0.5206
तलोंछ	0.5337
तसर	0.5256
ताबूत	0.5076
तार्किक	0.5342
तालव्य	0.5020
तीर्थस्थान	0.5363
तीर्थाटक	0.5461
तेरस	0.5438
तैतिर	0.5287
त्याग	0.5185
त्रिसंध्य	0.5010
थंब	0.5415
थंभ	0.5173
थपक	0.5183
थलचर	0.5327
थूहर	0.5111
दरजन	0.5424
दलितवर्ग	0.5235
दासत्व	0.5237
दास्तान	0.5267
दिनार	0.5398
दिनों-दिन	0.5256
दुर्दिन	0.5224
दुश्शासन	0.5403
देवराज	0.5042
देवाचार्य	0.5220
देशकाल	0.5133
द्रोणाचल	0.5407
धकधक	0.5292
धक्कम	0.5486
धनपाल	0.5364
धरणीधर	0.5491
धरपकड	0.5496
धर्मतंत्र	0.5379
धिक	0.5345
ध्वन्स	0.5003
नंगापन	0.5349
नग्नक	0.5196
ननिआउर	0.5117
नभयान	0.5225
नरकुल	0.5343
नरवीर	0.5120
नलकार	0.5257
नाहर	0.5103
नितम्ब	0.5172
निरसन	0.5405
निश्वास	0.5203
निहठाल	0.5193
नून	0.5209
नृत्य	0.5288
नेवार	0.5434
नेह	0.5274
नौसादर	0.5204
न्युट्रान	0.5468
न्यूट्रीशन	0.5015
नज़र	0.5096
पटपट	0.5263
पटोल	0.5117
पतिव्रत	0.5124
पतिव्रत्य	0.5476
पथदरशक	0.5284
परिचालक	0.5314
पसार	0.5047
पाँजर	0.5206
पार्थिव	0.5402
पियार	0.5168
पिसान	0.5400
पीऐस	0.5158
पुष्पहार	0.5429
पुस्तकागार	0.5378
पूर्वोत्तर	0.5360
पूषण	0.5211
पेयस	0.5258
पैकार	0.5386
पैनल	0.5150
पॉकेट	0.5300
पोस्त	0.5495
पौष	0.5334
प्रथोण	0.5041
प्रेक्षक	0.5168
बंदूक़	0.5067
बंद्यीकरण	0.5372
बट	0.5201
बथान	0.5128
बदलाव	0.5365
बनबिलाव	0.5138
बनमानुष	0.5224
बय	0.5174
बर्ट्ह्डय्	0.5026
बर्र	0.5142
बलभद्र	0.5342
बल्मीक	0.5183
बहिष्करण	0.5148
बांध	0.5294
बान	0.5337
बार	0.5459
बिल्यर्ड	0.5125
बीर	0.5106
बेल्ट	0.5396
बैट	0.5300
बोधक	0.5445
बक़बाद	0.5156
बज़ाज़	0.5335
भचक	0.5498
भाँड	0.5297
भाईपन	0.5257
भागमभाग	0.5034
भाज्य	0.5465
भान	0.5062
भास	0.5097
भुमिधर	0.5184
भृंग	0.5030
भैंसासुर	0.5063
मकमल	0.5341
मदभेद	0.5420
ममियाउर	0.5414
मस्तूल	0.5313
महक	0.5455
महरम	0.5439
महराज	0.5489
महामृग	0.5309
महियाउर	0.5170
महुवर	0.5044
मानांकन	0.5133
माफीदार	0.5160
मार्कर	0.5418
मालकोश	0.5483
मालकोष	0.5149
माहीगीर	0.5144
माफ़ीदार	0.5499
मुलकट	0.5012
मुलाज़िम	0.5481
मुहार	0.5247
मुडाव	0.5058
मूँछ	0.5065
मूस	0.5004
मेम्बरशिप	0.5183
मेह	0.5167
मेहर	0.5216
मॉनिटर	0.5429
मॉलिक्यूल	0.5214
मोलस्क	0.5013
यंत्रभाग	0.5318
योग्यताक्रम	0.5265
योनिलिग	0.5356
रतन	0.5089
