word	paradigm_class
अँकटी	F1
अँकवार	M2
अँकुड़ा	M1
अँकुड़ी	F1
अँकड़ी	F1
अँगना	M1
अँगरखा	M1
अँगरेज	M2
अँगरेजी	M3
अँगिका	F2
अँगिया	F1
अँगीठी	F1
अँगुरिया	F1
अँगूठा	M1
अँगूठी	F1
अँग्रेज़	M2
अँगड़ाई	F4
अँटी	F1
अँडिया	F1
अँतड़ी	F1
अँधियारा	M1
अँधेरा	M1
अँसुवन	M2
अंक	M2
अंकक	M2
अंकन	F3
अंकपत्र	M2
अंकशास्त्र	M2
अंकावतार	M2
अंकितमूल्य	M2
अंकित्र	M2
अंकुर	M2
अंकुरण	M2
अंकुश	M2
अंकुस	M2
अंकुड़ा	M1
अंकेक्षक	M2
अंग	M2
अंगक्रिया	F2
अंगचारी	M3
अंगच्छेद	M2
अंगछेद	M2
अंगछेदन	M2
अंगत्राण	M2
अंगद	M2
अंगधारी	M3
अंगन	M2
अंगना	F2
अंगभंग	F3
अंगरक्षक	M2
अंगरक्षा	F2
अंगरक्षी	M3
अंगराग	M2
अंगरेज	M2
अंगरेजी	M3
अंगलेट	F3
अंगहार	F3
अंगहीन	M2
अंगा	M1
अंगांगिभाव	M2
अंगानुभूति	F4
अंगार	M2
अंगारक	M2
अंगारा	M1
अंगारिका	F2
अंगारी	F1
अंगिरस	M2
अंगिरा	M1
अंगीकरण	M2
अंगीकार	M2
अंगीक्त्र्‍ति	F4
अंगुर	M2
अंगुरी	F1
अंगुल	M2
अंगुलि	F4
अंगुलिका	F2
अंगुली	F1
अंगुश्ताना	M1
अंगुष्ठ	M2
अंगुष्ठिका	F2
अंगूर	M2
अंगूरीबेल	F3
अंगूरीशराब	F3
अंगोछा	M1
अंग्रेज	M2
अंग्रेजी	M3
अंग्रेज़ी	M3
अंचल	M2
अंचवन	M2
अंजन	M2
अंजनहारी	M3
अंजना	F2
अंजनी	F1
अंजनीनंदन	F3
अंजल	M2
अंजलि	F4
अंजलिक	M2
अंजलिका	F2
अंजली	F1
अंजाम	M2
अंजीर	M2
अंजुमन	M2
अंजुली	F1
अंजोरी	F1
अंटा	M1
अंटी	F1
अंटीमार	M2
अंड	M2
अंडकोश	M2
अंडकोष	M2
अंडग्रंथि	F4
अंडबंड	M2
अंडरवियर	F3
अंडवृत्त	M2
अंडा	M1
अंडाशय	M2
अंडी	F1
अंत	F3
अंतःकथा	F2
अंतःकरण	M2
अंतःकलह	M2
अंतःपरिधि	F4
अंतःपुर	M2
अंतःप्रज्ञा	F2
अंतःशुद्धि	F4
अंतःस्वेद	M2
अंतकर्म	M2
अंतकारी	M3
अंतकाल	F3
अंतक्रिया	F2
अंतगामी	M3
अंततः	F3
अंतबेला	F2
अंतर	M2
अंतरंग	M2
अंतरंगता	F2
अंतरजाल	M2
अंतरण	M2
अंतरद्वंद्व	M2
अंतरराष्ट्रीय_मुद्राकोष	M2
अंतरा	M1
अंतरात्मा	F2
अंतरानुभूति	F4
अंतराय	M2
अंतराल	M2
अंतरिक्ष	M2
अंतरिक्षयान	M2
अंतरीय	F3
अंतर्	M2
अंतर्ज्ञान	M2
अंतर्ज्योति	F4
अंतर्ज्वाला	F2
अंतर्दर्शी	M3
अंतर्दिशा	F2
अंतर्दृष्टि	F4
अंतर्द्धान	F3
अंतर्द्र्‍ष्टि	F4
अंतर्धान	M2
अंतर्बोध	F3
अंतर्भाव	M2
अंतर्मन	F3
अंतर्यामी	M3
अंतर्वासी	M3
अंतर्वेदना	F2
अंतवर्ण	M2
अंतवासी	M3
अंतशय्या	M1
अंतस्ताप	F3
अंतस्थ_राज्य	M2
अंतहपुर	M2
अंताक्षरी	M3
अंतिम	F3
अंतेवासी	M3
अंत्यकर्म	M2
अंत्यक्रिया	F2
अंत्यज	M2
अंत्यलोप	M2
अंत्याक्षर	M2
अंत्याक्षरी	F1
अंत्येष्टि	F4
अंत्र	M2
अंत्रप्रदाह	F3
अंदर	F3
अंदाज	M2
अंदाजन	F3
अंदाज़	M2
अंदाज़ा	M1
अंदाजा	M1
अंदाज़	F3
अंदेशा	M1
अंध	F3
अंधक	M2
अंधकार	F3
अंधड	M2
अंधविश्वास	M2
अंधाकुप्प	M2
अंधाधुंध	F3
अंधानुकरण	F3
अंधानुयायिता	F2
अंधापन	M2
अंधेर	F3
अंधेरखाता	M1
अंधेरगर्दी	F1
अंधेरनगरी	F1
अंधेरा	M1
अंध्र	M2
अंधड़	M2
अंपायर	M2
अंबक	M2
अंबर	M2
अंबरीष	M2
अंबा	F2
अंबापाली	F1
अंबार	M2
अंबालिका	F2
अंबिका	F2
अंबिकेय	F3
अंबिया	F1
अंबी	F1
अंबु	F5
अंबुज	M2
अंबुजा	F2
अंबुजासन	M2
अंबुजासना	F2
अंबुतस्कर	M2
अंबुद	M2
अंबुधर	M2
अंबुनाथ	M2
अंबुनिधि	M3
अंबुराज	F3
अंभ	M2
अंभः	F3
अंभःपति	M3
अंभःसार	M2
अंभनिधि	M3
अंभोज	F3
अंभोधर	M2
अंश	M2
अंशकरण	M2
अंशदर	M2
अंशदान	F3
अंशधारी	M3
अंशपत्र	M2
अंशपूॅजी	F1
अंशशोधन	F3
अंशावतार	M2
अंशी	M3
अंशु	M4
अंशुक	M2
अंशुमान	M2
अंस	M2
अंसकूट	M2
अंसफलक	M2
अऑडिटर	M2
अकंपन	M2
अकंपितता	F2
अकड़	F3
अकड़न	F3
अकड़बाज़ी	F1
अकन्या	F2
अकबक	F3
अकबर	F3
अकबरी	F1
अकर्त्र्‍क	M2
अकर्त्र्‍त्व	M2
अकर्म	M2
अकल	M2
अकलंकता	F2
अकलदाढ	F3
अकलमंदी	F1
अकलात्मकता	F2
अकल्याण	F3
अकसीर	F3
अकाउंट	M2
अकाउंटबुक	F3
अकाउंटेंट	M2
अकाज	M2
अकादमी	F1
अकामता	F2
अकार	M2
अकारण	F3
अकारथ	M2
अकारन	M2
अकार्पण्य	M2
अकार्य	M2
अकाल	M2
अकालकुसुम	M2
अकालप्रसव	M2
अकालम्र्‍त्यु	F5
अकाली	M3
अकास	M2
अकिंचनता	F2
अकीर्ति	F4
अकुताई	F4
अकुलाई	F4
अकुलाहट	M2
अकुशलता	F2
अकृतज्ञता	M1
अकृपा	M1
अकेलापन	M2
अकोप	M2
अकौटिल्य	F3
अकौवन	M2
अकौशल	M2
अक्खड	M2
अक्खडपन	M2
अक्खड़पन	M2
अक्तूबर	F3
अक्रमिक	M2
अक्रिया	F2
अक्रूर	M2
अक्रोध	M2
अक्रोधन	F3
अक्र्‍पा	F2
अक्ल	F3
अक्लमंदी	F1
अक्लेश	M2
अक्ष	M2
अक्षक	M2
अक्षक्रीडा	F2
अक्षज	M2
अक्षजन	M2
अक्षता	F2
अक्षदर्शक	M2
अक्षमता	F2
अक्षमा	F2
अक्षमाला	F2
अक्षयनवमी	M3
अक्षया	F2
अक्षर	M2
अक्षरगणित	M2
अक्षरज्ञान	M2
अक्षरमाला	F2
अक्षरारंभ	M2
अक्षरार्थ	M2
अक्षरेखा	F2
अक्षरौती	F1
अक्षव्र्‍त्त	M2
अक्षसूत्र	M2
अक्षांश	M2
अक्षि	F4
अक्षिकूट	M2
अक्षितारा	M1
अक्षिपक्ष्म	M2
अक्षिपटल	M2
अक्षोभ	M2
अक्षौहिणी	F1
अक्स	F3
अखंडता	F2
अखंडन	M2
अखंडपाठ	M2
अखंडसौभाग्य	M2
अखडैत	M2
अखतीज	F3
अखबार	M2
अखरा	M1
अखरोट	M2
अख़बार	M2
अख़बारनवीस	M2
अख़बारनवीसी	F1
अख़रोट	M2
अख़रोटजंगली	M3
अखाडा	M1
अखारा	M1
अखाड़ा	M1
अखिलात्मा	F2
अखिलेश	M2
अख्तियार	M2
अख्याति	F4
अगति	F4
अगतिकता	F2
अगत्वरता	F2
अगमन	M2
अगमनीया	F2
अगम्या	F2
अगरबत्ती	F1
अगरसार	M2
अगराई	F1
अगरी	F1
अगवानी	F1
अगवाड़ा	M1
अगस्त	F3
अगस्ति	M3
अगस्त्य	F3
अगस्त्यकूट	M2
अगस्त्यगीता	F2
अगस्त्यतीर्थ	M2
अगस्त्यमार्ग	M2
अगस्त्यवट	M2
अगस्त्यसंहिता	F2
अगहन	M2
अगाड़ा	M1
अगियार	M2
अगीत_पछीत	M2
अगुआ	M1
अगुआई	F1
अगुआनी	F1
अगुरु	M4
अगुवा	M1
अगुवानी	F1
अगेह	M2
अगौरवता	M1
अग्नि	F4
अग्नि-कुण्ड	M2
अग्निकण	M2
अग्निकर्म	M2
अग्निकला	F2
अग्निकांड	M2
अग्निकार्य	M2
अग्निकुँड	M2
अग्निकुंड	M2
अग्निकुमार	M2
अग्निकेतु	F5
अग्निक्रिया	F2
अग्निचक्र	M2
अग्निज्वाला	F2
अग्नित्रेता	F2
अग्निदंड	M2
अग्निदाह	M2
अग्निदूत	M2
अग्निदेव	M2
अग्निनक्षत्र	M2
अग्निनेत्र	M2
अग्निपरिक्रिया	F2
अग्निपरीक्षा	F2
अग्निपर्वत	M2
अग्निपूजक	M2
अग्निप्रणयन	M2
अग्निप्रतिष्ठा	F2
अग्निप्रवेश	M2
अग्निबाण	M2
अग्निमणि	F4
अग्निमान्	M2
अग्निलोक	M2
अग्निवधू	F5
अग्निवर्षा	F2
अग्निवाहन	M2
अग्निविद्या	F2
अग्निशिखा	F2
अग्निशुद्धि	F4
अग्निसंस्कार	M2
अग्निसेवन	F3
अग्न्यागार	M2
अग्न्याधान	M2
अग्न्याशय	F3
अग्न्युपस्थान	M2
अग्रकर	M2
अग्रग	M2
अग्रगामी	M3
अग्रज	M2
अग्रजन्मा	M1
अग्रजा	F2
अग्रजाधिकार	M2
अग्रणी	M3
अग्रता	M1
अग्रदानी	M3
अग्रदूत	M2
अग्रपाद	M2
अग्रपूजा	F2
अग्रबीज	M2
अग्रभाग	M2
अग्रभूमि	F4
अग्रयान	M2
अग्रयोधी	M3
अग्रलेख	M2
अग्रवाल	M2
अग्रस्थान	M2
अग्रह	M2
अग्राशन	M2
अग्रासन	M2
अग्राह्या	F2
अग्रिम_देय_धन	M2
अग्रेसर	M2
अग्र्‍ह	M2
अघ	M2
अघविष	M2
अघात	M2
अघारि	M3
अघासुर	M2
अघोडी	M3
अघोर	M2
अघोरनाथ	M2
अघोरपंथ	M2
अघोरपंथी	M3
अघोररूप	M2
अघोरी	M3
अघ्रान	M2
अचंभा	M1
अचकन	M2
अचक्का	M1
अचपलाहट	F3
अचपली	F1
अचमन	M2
अचम्भा	M1
अचरज	M2
अचल_संपत्ति	F4
अचला	F2
अचलासप्तमी	F2
अचवन	M2
अचातुर्य	M2
अचार	M2
अचारी	F1
अचाह	F3
अचिंतन	F3
अचिंता	F2
अचिंतितता	F2
अचिंत्यकर्म	M2
अचिंत्यात्मा	M1
अचिकोटी	F1
अचिरता	F2
अचिरप्रसूता	F2
अचेतनक	M2
अचेतनता	F2
अचेतना	F2
अचेतनीकरण	M2
अच्छत	M2
अच्छर	M2
अच्छा	M1
अच्छाई	F1
अच्छापन	M2
अच्छोटन	M2
अच्युत	F3
अच्युतानंद	M2
अछवानी	F1
अछूत	M2
अछूतोद्धार	M2
अछोह	M2
अजकर्ण	M2
अजकर्णक	M2
अजग	M2
अजगर	M2
अजगल्लिका	F2
अजजीव	M2
अजदेवता	M1
अजन	M2
अजननिका	F2
अजन्म	M2
अजपथ	M2
अजपथ्य	M2
अजपा	F2
अजपाल	M2
अजबंधु	M4
अजभक्ष	M2
अजमार	M2
अजमुख	M2
अजमोदिका	F2
अजय	F3
अजया	F2
अजलोमा	M1
अजवाइन	F3
अजवाईन	F3
अजवायन	F3
अजवीथी	F1
अज़	F2
अज़ाख़ाना	M1
अज़ादार	M2
अज़ादारी	F1
अज़ान	F3
अज़ीज़दार	M2
अज़ीज़दारी	F1
अजा	F2
अजातशत्रु	F5
अजानता	F2
अजानपन	M2
अजामिल	M2
अजायबघर	M2
अजायवखाना	M1
अजितनाथ	M2
अजितबला	F2
अजिन	M2
अजिर	M2
अजिरवती	F1
अजीर्ण	M2
अजूजा	M1
अजूबा	M1
अज्ञता	F2
अज्ञा	F2
अज्ञातचर्या	F2
अज्ञातयौवना	F2
अज्ञातवास	M2
अज्ञाता	M1
अज्ञाति	M3
अज्ञान	M2
अज्ञानता	F2
अज्ञानतिमिर	M2
अज्ञानपन	M2
अज्ञानी	M3
अटकलअति	F3
अटकलबाज़ी	F1
अटकापन	M2
अटकाव	M2
अटया	F2
अटरिया	F1
अटारी	F1
अटेरन	M2
अटैची	F1
अट्टस्थली	F1
अट्टहास	M2
अट्टहास्य	M2
अट्टाट्टहास	M2
अट्टालिका	F2
अट्ठा	M1
अट्ठानवे	M2
अट्ठावन	M2
अट्ठासी	M2
अठखेली	F1
अठन्नी	F1
अठमासा	M1
अठहत्तर	M2
अठारह	M2
अठावन	M2
अठासी	M2
अठोतरी	F1
अडंगा	M1
अडंगाबाज़	M2
अडंगाबाज़ी	F1
अडंबर	M2
अडगडा	M1
अडगोडा	M1
अडचन	F3
अडचल	F3
अडतल	M2
अडतालीस	M2
अडतीस	M2
अडबंग	M2
अडबंगा	M1
अडसठ	M2
अडहुल	M2
अड़ोस-पड़ोस	M2
अड्डा	M1
अढउल	M2
अढतिया	M1
अढैया	F2
अणिमा	F2
अणिमादिक	F3
अणु	M4
अणुबम	M2
अणुभा	F2
अणुवाद	M2
अणुव्रत	M2
अणुव्रीहि	M3
अतद्गुण	M2
अतल	M2
अतवार	M2
अति_उत्पादन	M2
अतिकथा	F2
अतिकर्षण	M2
अतिकाल	M2
अतिक्रम	M2
अतिक्रमण	M2
अतिक्रामक	M2
अतिगंध	M2
अतिचार	M2
अतिजीवन	M2
अतिजीवी	M3
अतितरण	M2
अतितीव्रा	F2
अतित्र्‍ष्णा	F2
अतिथि	M3
अतिथिक्रिया	F2
अतिथिग्र्‍ह	M2
अतिथिदेव	M2
अतिथिधर्म	M2
अतिथिपूजा	F2
अतिथिभवन	M2
अतिथियज्ञ	M2
अतिथिशाला	F2
अतिथिसत्कार	M2
अतिथिसेवा	F2
अतिदाता	M1
अतिदान	M2
अतिदाह	M2
अतिदेव	M2
अतिदेश	M2
अतिदोष	M2
अतिधन्वा	M1
अतिपतन	M2
अतिपुरुष	M2
अतिपूरुष	M2
अतिप्रजनन	M2
अतिप्रबंध	M2
अतिप्रश्न	M2
अतिप्रसंग	M2
अतिप्रौढा	F2
अतिबल	M2
अतिब्रह्मचर्य	M2
अतिभूमि	F4
अतिभोजन	F3
अतिमद्यपता	F2
अतिमान	M2
अतिमानव	M2
अतिमानुष	M2
अतिमित्र	M2
अतिमैथुन	M2
अतिम्र्‍त्यु	F5
अतिरंजन	M2
अतिरंजना	F2
अतिरथ	M2
अतिरथी	M3
अतिरात्र	M2
अतिरिक्तपत्र	M2
अतिरेक	M2
अतिरोग	M2
अतिलंघन	M2
अतिलौल्य	M2
अतिवक्ता	M1
अतिवाद	M2
अतिविपिन	M2
अतिविष	M2
अतिवेला	F2
अतिव्याप्ति	F4
अतिव्र्‍द्धा	F2
अतिव्र्‍ष्टि	F4
अतिशयन	F3
अतिशयोक्ति	F4
अतिशायन	F3
अतिशूद्र	M2
अतिशेष	M2
अतिसंधान	M2
अतिसंधि	F4
अतिसर्पण	F3
अतिसार	M2
अतीत	M2
अतीरेक	M2
अतीसार	M2
अतुराई	F1
अतुष्टि	F4
अतृप्ति	F4
अतेज	M2
अत्यंतवासी	M3
अत्यंताभाव	M2
अत्यधिकता	M1
अत्यम्ल	M2
अत्याग	M2
अत्याचार	M2
अत्याचारी	M3
अत्यारूढि	F4
अत्युक्ति	F4
अत्युत्पादन	M2
अत्रि	M3
अत्रिजात	F3
अत्र्‍प्ति	F4
अत्वरा	F2
अथर्व	M2
अथर्वण	M2
अथर्वणि	M3
अथर्वनिधि	F4
अथर्वनी	F1
अथर्वशिखा	F2
अथारिटी	M3
अदक्षता	M1
अदन	M2
अदब	M2
अदबक़ायदा	M1
अदबलिहाज	M2
अदम	M2
अदमतामील	F3
अदमपैरवी	F1
अदमफुरसत	F3
अदममौजूदगी	F1
अदमवसूली	F1
अदमसबूत	M2
अदमहाजिरी	F1
अदरक	F3
अदर्शन	M2
अदल	M2
अदवान	M2
अदहन	M2
अदा	F2
अदाई	F1
अदाकार	M2
अदाकारा	F2
अदाबंदी	F1
अदायगी	F1
अदालत	F3
अदावत	F3
अदिति	F4
अदितिज	M2
अदितिनंदन	M2
अदिव्या	F2
अदेयदान	M2
अदेव	M2
अदेवता	M1
अदौरी	F1
अद्रव्य	M2
