word	paradigm_class
अँकटी	लड़की
अँकवार	घर
अँकसी	ex_noun
अँकुसी	ex_noun
अँकुड़ा	लड़का
अँकुड़ी	लड़की
अँकड़ा	ex_noun
अँकड़ी	लड़की
अँखुआ	ex_noun
अँखुआँ	ex_noun
अँगना	लड़का
अँगरखा	लड़का
अँगरेज	घर
अँगरेजी	पानी
अँगिका	आशा
अँगिया	गुिड़या
अँगीठी	लड़की
अँगुरिया	गुिड़या
अँगूठा	लड़का
अँगूठी	लड़की
अँगेठी	ex_noun
अँग्रेज़	घर
अँगड़ाई	आपत्ति
अँचरा	ex_noun
अँचार	ex_noun
अँटी	लड़की
अँडिया	गुिड़या
अँडुआ	ex_noun
अँतड़ी	लड़की
अँधियारा	लड़का
अँधेरा	लड़का
अँसुवन	घर
अंक	घर
अंकक	घर
अंकगणित	ex_noun
अंकन	भीड़
अंकपत्र	घर
अंकशास्त्र	घर
अंकावतार	घर
अंकितमूल्य	घर
अंकित्र	घर
अंकुर	घर
अंकुरण	क्रोध
अंकुश	क्रोध
अंकुस	घर
अंकुड़ा	लड़का
अंकेक्षक	घर
अंग	घर
अंगक्रिया	आशा
अंगचारी	आदमी
अंगच्छेद	घर
अंगछेद	घर
अंगछेदन	घर
अंगत्राण	घर
अंगद	घर
अंगधारी	आदमी
अंगन	घर
अंगना	आशा
अंगभंग	भीड़
अंगरक्षक	घर
अंगरक्षा	ईर्ष्या
अंगरक्षी	आदमी
अंगराग	घर
अंगरेज	घर
अंगरेजी	पानी
अंगलेट	भीड़
अंगहार	भीड़
अंगहीन	घर
अंगा	लड़का
अंगांगिभाव	घर
अंगानुभूति	शािन्त
अंगार	घर
अंगारक	घर
अंगारा	लड़का
अंगारिका	आशा
अंगारी	लड़की
अंगिरस	घर
अंगिरा	विधाता
अंगीकरण	घर
अंगीकार	घर
अंगीक्त्र्‍ति	शान्ति
अंगुर	घर
अंगुरी	लड़की
अंगुल	घर
अंगुलि	आपत्ति
अंगुलिका	आशा
अंगुली	लड़की
अंगुश्ताना	लड़का
अंगुष्ठ	घर
अंगुष्ठिका	आशा
अंगूठी	ex_noun
अंगूठे	ex_noun
अंगूर	घर
अंगूरीबेल	रात
अंगूरीशराब	भीड़
अंगोछा	लड़का
अंग्रेज	घर
अंग्रेजी	पानी
अंग्रेज़ी	पानी
अंघड़ा	ex_noun
अंचल	घर
अंचवन	घर
अंजन	घर
अंजनहारी	आदमी
अंजना	ईर्ष्या
अंजनी	लड़की
अंजनीनंदन	भीड़
अंजल	घर
अंजलि	आपत्ति
अंजलिक	घर
अंजलिका	आशा
अंजली	लड़की
अंजही	ex_noun
अंजाम	घर
अंजीर	घर
अंजुमन	घर
अंजुली	लड़की
अंजोर	ex_noun
अंजोरा	ex_noun
अंजोरी	लड़की
अंटा	लड़का
अंटी	लड़की
अंटीमार	घर
अंड	घर
अंडकोश	घर
अंडकोष	घर
अंडग्रंथि	आपत्ति
अंडबंड	घर
अंडरवियर	भीड़
अंडवृत्त	घर
अंडा	लड़का
अंडाशय	घर
अंडी	लड़की
अंत	भीड़
अंतःकथा	आशा
अंतःकरण	घर
अंतःकलह	घर
अंतःपरिधि	शान्ति
अंतःपुर	घर
अंतःप्रज्ञा	आशा
अंतःशुद्धि	शान्ति
अंतःस्वेद	घर
अंतकर्म	घर
अंतकारी	आदमी
अंतकाल	भीड़
अंतक्रिया	ईर्ष्या
अंतगामी	आदमी
अंततः	रात
अंतबेला	ईर्ष्या
अंतर	घर
अंतरंग	घर
अंतरंगता	ईर्ष्या
अंतरजाल	घर
अंतरण	घर
अंतरद्वंद्व	घर
अंतरराष्ट्रीय_मुद्राकोष	घर
अंतरा	लड़का
अंतरात्मा	ईर्ष्या
अंतरानुभूति	शान्ति
अंतराय	घर
अंतराल	घर
अंतरिंद्रिय	ex_noun
अंतरिक्ष	घर
अंतरिक्षयात्री	ex_noun
अंतरिक्षयान	घर
अंतरीप	ex_noun
अंतरीय	रात
अंतर्	घर
अंतर्ज्ञान	घर
अंतर्ज्योति	शान्ति
अंतर्ज्वाला	आशा
अंतर्दर्शी	आदमी
अंतर्दिशा	आशा
अंतर्दृष्टि	आपत्ति
अंतर्द्धान	भीड़
अंतर्द्र्‍ष्टि	शान्ति
अंतर्धान	घर
अंतर्धारा	ex_noun
अंतर्बोध	भीड़
अंतर्भाव	घर
अंतर्मन	भीड़
अंतर्यामी	पानी
अंतर्वासी	आदमी
अंतर्वेदना	आशा
अंतवर्ण	घर
अंतवासी	आदमी
अंतशय्या	विधाता
अंतस्ताप	भीड़
अंतस्थ_राज्य	घर
अंतहपुर	घर
अंताक्षरी	आदमी
अंतिम	रात
अंतेवासी	आदमी
अंत्यकर्म	घर
अंत्यक्रिया	ईर्ष्या
अंत्यज	घर
अंत्यलोप	घर
अंत्याक्षर	घर
अंत्याक्षरी	लड़की
अंत्येष्टि	शान्ति
अंत्र	घर
अंत्रप्रदाह	भीड़
अंदर	भीड़
अंदाज	घर
अंदाजन	रात
अंदाज़	घर
अंदाज़ा	लड़का
अंदाजा	लड़का
अंदाज़	भीड़
अंदेशा	लड़का
अंध	भीड़
अंधक	घर
अंधकार	भीड़
अंधड	घर
अंधता	ex_noun
अंधविश्वास	घर
अंधाकुप्प	घर
अंधाधुंध	रात
अंधानुकरण	भीड़
अंधानुयायिता	ईर्ष्या
अंधापन	अपनापन
अंधेर	भीड़
अंधेरखाता	लड़का
अंधेरगर्दी	लड़की
अंधेरनगरी	लड़की
अंधेरा	लड़का
अंधेरे	ex_noun
अंध्र	घर
अंधड़	घर
अंपायर	घर
अंपायरिंग	ex_noun
अंबक	घर
अंबर	घर
अंबराई	ex_noun
अंबरीष	घर
अंबा	ईर्ष्या
अंबापाली	लड़की
अंबार	घर
अंबारी	ex_noun
अंबालिका	ईर्ष्या
अंबिका	ईर्ष्या
अंबिकेय	रात
अंबिया	गुिड़या
अंबी	लड़की
अंबु	वायु
अंबुज	घर
अंबुजा	आशा
अंबुजासन	घर
अंबुजासना	ईर्ष्या
अंबुतस्कर	घर
अंबुद	घर
अंबुधर	घर
अंबुधि	ex_noun
अंबुनाथ	घर
अंबुनिधि	कवि
अंबुराज	भीड़
अंभ	घर
अंभः	भीड़
अंभःपति	कवि
अंभःसार	घर
अंभनिधि	कवि
अंभोज	भीड़
अंभोधर	घर
अंश	घर
अंशकरण	घर
अंशदर	घर
अंशदान	भीड़
अंशधारी	आदमी
अंशपत्र	घर
अंशपूॅजी	लड़की
अंशशोधन	भीड़
अंशावतार	घर
अंशी	आदमी
अंशु	शत्रु
अंशुक	घर
अंशुमान	घर
अंस	घर
अंसकूट	घर
अंसफलक	घर
अऑडिटर	घर
अकंपन	घर
अकंपितता	आशा
अकड़	भीड़
अकड़न	भीड़
अकड़बाज़ी	लड़की
अकन्या	आशा
अकबक	भीड़
अकबर	रात
अकबरी	लड़की
अकरास	ex_noun
अकर्त्र्‍क	घर
अकर्त्र्‍त्व	घर
अकर्म	घर
अकल	घर
अकलंकता	ईर्ष्या
अकलदाढ	रात
अकलमंदी	लड़की
अकलात्मकता	आशा
अकल्याण	भीड़
अकशेरुकी	ex_noun
अकसीर	भीड़
अकाउंट	घर
अकाउंटबुक	भीड़
अकाउंटेंट	घर
अकाज	घर
अकादमी	लड़की
अकामता	ईर्ष्या
अकार	घर
अकारण	रात
अकारथ	घर
अकारन	घर
अकार्पण्य	घर
अकार्य	घर
अकाल	घर
अकालकुसुम	घर
अकालप्रसव	घर
अकालम्र्‍त्यु	ऋतु
अकाली	आदमी
अकास	घर
अकिंचनता	ईर्ष्या
अकीर्ति	आपत्ति
अकुताई	आपत्ति
अकुलाई	आपत्ति
अकुलाहट	घर
अकुशलता	आशा
अकृतज्ञता	विधाता
अकृपा	राजा
अकेलापन	अपनापन
अकोप	घर
अकौआ	ex_noun
अकौटा	ex_noun
अकौटिल्य	रात
अकौवन	घर
अकौवा	ex_noun
अकौशल	घर
अक्खड	घर
अक्खडपन	घर
अक्खड़पन	घर
अक्तूबर	रात
अक्रमिक	घर
अक्रिया	ईर्ष्या
अक्रूर	घर
अक्रोध	घर
अक्रोधन	रात
अक्र्‍पा	ईर्ष्या
अक्ल	भीड़
अक्लमंदी	लड़की
अक्लेश	घर
अक्ष	घर
अक्षक	घर
अक्षकास्थि	ex_noun
अक्षक्रीडा	आशा
अक्षज	घर
अक्षजन	घर
अक्षत	ex_noun
अक्षता	ईर्ष्या
अक्षदर्शक	घर
अक्षमता	आशा
अक्षमा	ईर्ष्या
अक्षमाला	आशा
अक्षयतृतीया	ex_noun
अक्षयनवमी	आदमी
अक्षया	ईर्ष्या
अक्षर	घर
अक्षरगणित	घर
अक्षरज्ञान	घर
अक्षरमाला	ईर्ष्या
अक्षरारंभ	घर
अक्षरार्थ	घर
अक्षरेखा	आशा
अक्षरौटी	ex_noun
अक्षरौती	लड़की
अक्षव्र्‍त्त	घर
अक्षसूत्र	घर
अक्षांश	घर
अक्षि	आपत्ति
अक्षिकूट	घर
अक्षितारा	लड़का
अक्षिपक्ष्म	घर
अक्षिपटल	घर
अक्षोभ	घर
अक्षौहिणी	लड़की
अक्स	भीड़
अखंडता	ईर्ष्या
अखंडन	घर
अखंडपाठ	घर
अखंडसौभाग्य	घर
अखडैत	घर
अखतीज	भीड़
अखबार	घर
अखरा	लोहा
अखरोट	घर
अखरौटी	ex_noun
अख़बार	घर
अख़बारनवीस	घर
अख़बारनवीसी	लड़की
अख़रोट	घर
अख़रोटजंगली	आदमी
अखाडा	लड़का
अखात	ex_noun
अखारा	लड़का
अखाड़ा	लड़का
अखाड़िया	ex_noun
अखिलात्मा	आशा
अखिलेश	घर
अख्तियार	घर
अख्याति	शान्ति
अगति	शान्ति
अगतिकता	आशा
अगत्वरता	आशा
अगमन	घर
अगमनीया	ईर्ष्या
अगम्या	ईर्ष्या
अगरबत्ती	लड़की
अगरसार	घर
अगराई	लड़की
अगरी	लड़की
अगरु	ex_noun
अगवानी	लड़की
अगवाड़ा	लड़का
अगस्त	रात
अगस्ति	कवि
अगस्त्य	रात
अगस्त्यकूट	घर
अगस्त्यगीता	ईर्ष्या
अगस्त्यतीर्थ	घर
अगस्त्यमार्ग	घर
अगस्त्यवट	घर
अगस्त्यसंहिता	ईर्ष्या
अगहन	घर
अगाड़ा	लड़का
अगाड़ी	ex_noun
अगिया	ex_noun
अगियार	घर
अगियारी	ex_noun
अगियासन	ex_noun
अगीत_पछीत	घर
अगुआ	विधाता
अगुआई	लड़की
अगुआनी	लड़की
अगुरु	शत्रु
अगुवा	विधाता
अगुवाई	ex_noun
अगुवानी	लड़की
अगेह	घर
अगौरवता	विधाता
अग्नि	शान्ति
अग्नि-कुण्ड	घर
अग्निकण	घर
अग्निकर्म	घर
अग्निकला	आशा
अग्निकांड	घर
अग्निकार्य	घर
अग्निकुँड	घर
अग्निकुंड	घर
अग्निकुमार	घर
अग्निकेतु	वायु
अग्निक्रिया	ईर्ष्या
अग्निचक्र	घर
अग्निज्वाला	आशा
अग्नित्रेता	ईर्ष्या
अग्निद	ex_noun
अग्निदंड	घर
अग्निदाह	घर
अग्निदूत	घर
अग्निदेव	घर
अग्निनक्षत्र	घर
अग्निनेत्र	घर
अग्निपरिक्रिया	ईर्ष्या
अग्निपरीक्षा	आशा
अग्निपर्वत	घर
अग्निपूजक	घर
अग्निप्रणयन	घर
अग्निप्रतिष्ठा	ईर्ष्या
अग्निप्रवेश	घर
अग्निबाण	घर
अग्निमणि	आपत्ति
अग्निमान्	घर
अग्निलोक	घर
अग्निवधू	बहू
अग्निवर्षा	ईर्ष्या
अग्निवाहन	घर
अग्निविद्या	ईर्ष्या
अग्निशिखा	आशा
अग्निशुद्धि	शान्ति
अग्निसंस्कार	घर
अग्निसेवन	भीड़
अग्निहोत्र	ex_noun
अग्न्यस्त्र	ex_noun
अग्न्यागार	घर
अग्न्याधान	घर
अग्न्याशय	भीड़
अग्न्युपस्थान	घर
अग्रकर	घर
अग्रग	घर
अग्रगामी	आदमी
अग्रज	घर
अग्रजन्मा	लड़का
अग्रजा	आशा
अग्रजाधिकार	घर
अग्रणी	पानी
अग्रता	विधाता
अग्रदानी	आदमी
अग्रदूत	घर
अग्रपाद	घर
अग्रपूजा	ईर्ष्या
अग्रबीज	घर
अग्रभाग	घर
अग्रभूमि	शान्ति
अग्रयान	घर
अग्रयोधी	आदमी
अग्रलेख	घर
अग्रवाल	घर
अग्रस्थान	घर
अग्रह	घर
अग्राशन	घर
अग्रासन	घर
अग्राह्या	ईर्ष्या
अग्रिम	ex_noun
अग्रिम_देय_धन	घर
अग्रेसर	घर
अग्र्‍ह	घर
अघ	घर
अघविष	घर
अघात	घर
अघारि	कवि
अघासुर	घर
अघोडी	आदमी
अघोर	घर
अघोरनाथ	घर
अघोरपंथ	घर
अघोरपंथी	आदमी
अघोररूप	घर
अघोरी	आदमी
अघ्यक्ष	ex_noun
अघ्रान	घर
अचंभा	लोहा
अचकन	घर
अचक्का	लड़का
अचक्रित	ex_noun
अचपलाहट	भीड़
अचपली	लड़की
अचमन	घर
अचम्भा	विधाता
अचरज	घर
अचल_संपत्ति	शान्ति
अचला	ईर्ष्या
अचलासप्तमी	ईर्ष्या
अचवन	घर
अचातुर्य	घर
अचार	घर
अचारी	लड़की
अचाह	भीड़
अचिंतन	भीड़
अचिंता	ईर्ष्या
अचिंतितता	आशा
अचिंत्यकर्म	घर
अचिंत्यात्मा	लड़का
अचिकोटी	लड़की
अचिरता	ईर्ष्या
अचिरप्रसूता	आशा
अचेतनक	घर
अचेतनता	आशा
अचेतना	आशा
अचेतनीकरण	घर
अच्छत	घर
अच्छर	घर
अच्छा	लड़का
अच्छाई	लड़की
अच्छापन	अपनापन
अच्छोटन	घर
अच्युत	भीड़
अच्युतानंद	घर
अछवानी	लड़की
अछूत	घर
अछूतोद्धार	घर
अछोह	घर
अज	ex_noun
अजकर्ण	घर
अजकर्णक	घर
अजग	घर
अजगर	घर
अजगल्लिका	ईर्ष्या
अजगव	ex_noun
अजजीव	घर
अजदेवता	विधाता
अजन	घर
अजननिका	आशा
अजन्म	घर
अजपथ	घर
अजपथ्य	घर
अजपा	ईर्ष्या
अजपाल	घर
अजबंधु	शत्रु
अजभक्ष	घर
अजमार	घर
अजमुख	घर
अजमोदा	ex_noun
अजमोदिका	आशा
अजय	भीड़
अजया	ईर्ष्या
अजलोमा	लड़का
अजवाइन	भीड़
अजवाईन	भीड़
अजवायन	भीड़
अजवीथी	लड़की
अज़	ईर्ष्या
अज़ाख़ाना	लड़का
अज़ादार	घर
अज़ादारी	लड़की
अज़ान	भीड़
अज़ीज़दार	घर
अज़ीज़दारी	लड़की
अजा	ईर्ष्या
अजातशत्रु	वायु
अजातारि	ex_noun
अजानता	ईर्ष्या
अजानपन	घर
अजामिल	घर
अजायबघर	घर
अजायवखाना	लड़का
अजितनाथ	घर
अजितबला	ईर्ष्या
अजिन	घर
अजिर	घर
अजिरवती	लड़की
अजीरन	ex_noun
अजीर्ण	घर
अजूजा	लड़का
अजूबा	लड़का
अज्ञता	ईर्ष्या
अज्ञा	आशा
अज्ञातचर्या	ईर्ष्या
अज्ञातयौवना	आशा
अज्ञातवास	घर
